id,vendedor,tag_loja,avaliacoes,descricao,fl_item_ativo,link,produtos_a_venda,produtos_vendidos,tempo_medio_envio,no_enjoei_desde,anomesdia_particao
12,lourenco,"Goianira, GO",(0 avaliação),atenção: as dobradiças estão em otimo estado porem o cabo flat não tenho certeza se esta funcionando pois não testei ele em outro notebook.par de dobradiças originais (esquerdo e direito) da tela lcd de notebooks dell inspiron 15 5000 (modelos 5565 e 5567). acompanha também o cabo flat da tela. retirada de um notebook sucata.,1,https://www.enjoei.com.br/p/par-de-dobradicas-e-cabo-flat-notebook-dell-inspiron-15-5000-leia-a-descricao-146215455?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=12,7,2,n/a,ago/2021,20260710
13,roberta,"são bernardo do campo, SP",(54 avaliações),"fone de ouvido hyperx cloud stinger 2, na cor preta. possui microfone com cancelamento de ruído e drivers de 40mm. compatível com pc e video games. produto praticamente sem uso, em excelente estado de conservação.",1,https://www.enjoei.com.br/p/fone-de-ouvido-hyperx-cloud-stinger-2-ideal-para-jogar-compativel-com-xbox-series-s-145101234?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=13,5,270,2 dias,abr/2015,20260710
14,leticia,"indaiatuba, SP",(16 avaliações),"o galaxy s25 ultra 5g titânio cinza 512gb,  pouco usado com cabo original e caixa original e comprado no brasil .vem com capa magsafe e bateria em condição ótima.",0,https://www.enjoei.com.br/p/samsung-galaxy-s25-ultra-5g-512gb-titanio-cinza-6-9-12gb-ram-cam-bateria-5000mah-dual-chip-144364910?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=14,5,166,6 dias,abr/2016,20260710
15,camila,"resende, RJ",(0 avaliação),ipad air - 1a. geração - 16g - atualiza somente até o ios 12 - sem detalhes- funciona perfeitamente - sempre foi usado com capa - acompanha a capa da foto - desbloqueado - prata,1,https://www.enjoei.com.br/p/ipad-air-a1474-1a-geracao-146315418?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=15,2,6,n/a,mai/2021,20260710
16,ana,loja em destaque,(18 avaliações),"mini game antigo original capcom street fighter ii. item de colecionador, ideal para fãs de jogos retrô. o aparelho está usado e apresenta marcas de uso, conforme as fotos.",1,https://www.enjoei.com.br/p/mini-game-capcom-street-fighter-ii-146001201?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,1 mil,85,1 dia,nov/2025,20260710
17,ana,loja em destaque,(18 avaliações),console sony playstation 2 na cor preta. o aparelho está usado e não funciona. ideal para colecionadores ou para retirada de peças.,1,https://www.enjoei.com.br/p/console-sony-playstation-2-nao-funciona-145229875?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,1 mil,85,1 dia,nov/2025,20260710
18,ana,loja em destaque,(18 avaliações),"carcaça de playstation 3 na cor preta. ideal para reposição ou customização. produto usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/carcaca-de-playstation-3-preta-145552887?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,1 mil,85,1 dia,nov/2025,20260710
19,ana,loja em destaque,(18 avaliações),jogo original de ps1 prata,1,https://www.enjoei.com.br/p/jogo-prateado-de-ps1-145085729?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,1 mil,85,1 dia,nov/2025,20260710
20,ana,loja em destaque,(18 avaliações),"carcaça de controle nintendo 64 na cor cinza. ideal para reposição ou customização. produto usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/carcaca-controle-nintendo-64-cinza-145406235?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,1 mil,85,1 dia,nov/2025,20260710
21,henri,"São Paulo, SP",(4 avaliações),"tv 14"" do relâmpago macqueen com controle remoto, funcionando perfeitamente, revisada recentemente na assistencia tecnica, apenas falta a tampinha frontal. excelente imagem para jogar video game retrô ou como faço com as crianças, assistir o macqueen nela.",1,https://www.enjoei.com.br/p/tv-14-do-relampago-macqueen-146124249?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=16,13,7,n/a,abr/2023,20260710
22,sergio,loja em destaque,(146 avaliações),"subwoofer lenoxx na cor preta com detalhe em prata. usado, mas em bom estado. medidas: 17cm de largura, 30cm de profundidade e 27cm de altura.",1,https://www.enjoei.com.br/p/subwoofer-lenoxx-preto-145166643?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=17,26,240,1 dia,mar/2022,20260710
23,rosanni,"São Paulo, SP",(14 avaliações),"coleção de jogos para ps4 em excelente estado. inclui fifa 14, fifa 15, fifa 17, call of duty black ops iii e trials rising. todos os jogos são originais, estão em ótimo estado de conservação e funcionando perfeitamente.",1,https://www.enjoei.com.br/p/jogos-ps4-fifa-14-15-17-call-of-duty-trials-146232595?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=18,7,19,3 dias,set/2016,20260710
24,giovanna,"Ibiporã, PR",(45 avaliações),"controle original sony playstation 5 em edição limitada inspirada em james bond 007: first light.produto original sonyedição limitada de colecionadorcaixa original inclusacompatível com ps5, pc, mac e dispositivos móveisfuncionando perfeitamenteexcelente estado de conservaçãopossui nota fiscal",1,https://www.enjoei.com.br/p/controle-sem-fio-dualsense-edicao-limitada-007-first-light-146199008?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=19,22,72,1 dia,fev/2016,20260710
25,fabiola,"coronel fabriciano, MG",(0 avaliação),"secador de cabelo mondial, modelo sc-11, na cor vermelha. o secador está funcionando perfeitamente e acompanha o bico direcionador de ar. ideal para uso diário, proporcionando praticidade e eficiência na secagem dos cabelos.",1,https://www.enjoei.com.br/p/secador-de-cabelo-mondial-sc-11-vermelho-145635922?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=20,3,2,n/a,jun/2026,20260710
26,gata,"são paulo, SP",(12 avaliações),"smartphone motorola moto g54 5g com 256gb de armazenamento, na cor verde. possui nota fiscal. aparelho usado, mas em ótimo estado,",1,https://www.enjoei.com.br/p/smartphone-motorola-moto-g54-5g-256gb-verde-143853872?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=21,30,21,3 dias,set/2019,20260710
27,guiga,"São Bernardo do Campo, SP",(2 avaliações),"jogo plants vs zombies garden warfare para ps4. mídia física em perfeito estado, sem riscos ou marcas de uso. divirta-se com este clássico de estratégia e ação.",1,https://www.enjoei.com.br/p/jogo-plants-vs-zombies-garden-warfare-ps4-140548967?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=22,8,3,n/a,abr/2026,20260710
28,ingrid,"Rio de Janeiro, RJ",(2 avaliações),"notebook lenovo ideapad 320-15ikb com processador intel core i5-7200u, 12gb de ram e placa de vídeo nvidia geforce 940mx de 2gb. possui ssd de 480gb e hd de 1tb, totalizando 1,5tb de armazenamento. tela de 15 polegadas. notebook bem conservado e funcionando perfeitamente.",1,https://www.enjoei.com.br/p/notebook-lenovo-ideapad-320-15ikb-i5-12gb-ram-146298714?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=23,69,11,7 dias,out/2021,20260710
29,caio,loja em destaque,(0 avaliação),"jogo side pocket 2 para sega saturn, versão japonesa. o jogo está em bom estado de conservação, ideal para colecionadores e fãs de jogos clássicos.",1,https://www.enjoei.com.br/p/jogo-side-pocket-2-sega-saturn-japones-146315508?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=24,12,0,n/a,set/2024,20260710
30,rita,loja em destaque,(3 avaliações),"caixa de som bluetooth na cor azul, com detalhes em tecido. possui botões de controle na parte inferior e entradas usb, para cartão de memória e auxiliar. ideal para ouvir suas músicas em qualquer lugar.",1,https://www.enjoei.com.br/p/caixa-de-som-bluetooth-azul-144968389?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=25,31,9,n/a,mai/2026,20260710
31,gabriel,"Contagem, MG",(240 avaliações),jogo ps5 the last of us part ii remasterednovo nunca usado.,1,https://www.enjoei.com.br/p/jogo-ps5-the-last-of-us-part-ii-remastered-143092083?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=26,692,478,1 dia,set/2020,20260710
32,lm,"São Paulo, SP",(5 avaliações),"cartuchos de tinta epson 73n, sendo dois na cor amarela (yellow) e um na cor magenta. cada cartucho contém 5ml de tinta. ideal para impressoras epson compatíveis com o modelo 73n. produto novo, em sua embalagem original.",1,https://www.enjoei.com.br/p/cartucho-de-tinta-epson-73n-amarelo-e-magenta-146198599?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=27,30,10,2 dias,dez/2025,20260710
33,alison,loja em destaque,(140 avaliações),"controle remoto original lg, modelo akb73655791, compatível com diversos aparelhos mini system xboom, como ok75, ok99, cm9740 e cm9940. o controle está funcionando perfeitamente, mas não possui a tampa traseira.",1,https://www.enjoei.com.br/p/controle-remoto-lg-akb73655791-xboom-146180014?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=28,626,322,1 dia,ago/2022,20260710
34,luiz,"Praia Grande, SP",(0 avaliação),"iphone 11 pro com 64gb de armazenamento, na cor prata. aparelho bem conservado, sem marcas de uso. tela e bateria trocadas recentemente. face id off.",1,https://www.enjoei.com.br/p/iphone-11-pro-64gb-branco-146315496?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=29,1,0,n/a,jul/2026,20260710
35,thiago,"são paulo, SP",(0 avaliação),"iphone 12 pro com 128gb de armazenamento, na cor dourada. aparelho usado, mas em ótimo estado, sem arranhões ou amassados.",1,https://www.enjoei.com.br/p/iphone-12-pro-dourado-128gb-146160658?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=30,1,0,n/a,abr/2026,20260710
36,annelise,"Santos, SP",(2 avaliações),"óculos pouco usado, com a lente sem arranhões.",1,https://www.enjoei.com.br/p/rayban-wayfarer-original-129567837?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,2,3,n/a,jul/2021,20260710
37,júnia,loja em destaque,(15 avaliações),chapinha importada (china)prancha alisadora ultra ionimportador: m.k. eletrodomésticos mondial ltda.bivolt automáticoresistência em cerâmica (mantém a temperatura constante e facilita o alisamento)chapas ionizadas superdeslizantes (alisamento perfeito e sem frizz)manual em português* oportunidade *3 unidades disponíveispreço por unidade,1,https://www.enjoei.com.br/p/chapinha-importada-prancha-alisadora-ultra-ion-bivolt-mondial-146248903?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,131,26,1 dia,dez/2020,20260710
38,,,,,0,https://www.enjoei.com.br/p/jogo-ps4-horizon-zero-dawn-complete-edition-145653242?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,,,,,20260710
39,priscilla,"São Paulo, SP",(0 avaliação),"macbook pro modelo a1989, ano 2018. em bom estado de conservação, com algumas marcas de uso na carcaça e teclado. ideal para quem busca um notebook potente e confiável para o dia a dia.",1,https://www.enjoei.com.br/p/macbook-pro-a1989-2018-145333094?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,1,1,n/a,jan/2016,20260710
40,denner,"Igaratá, SP",(0 avaliação),"notebook acer nitro v15 anv15-51, com processador intel core i5 de 13ª geração, 24gb de ram e placa de vídeo nvidia geforce rtx 4050. possui 477gb de armazenamento ssd. ideal para jogos, edição de vídeos e outras tarefas de alto desempenho. em excelente estado de conservação e funcionando perfeitamente.",1,https://www.enjoei.com.br/p/notebook-acer-nitro-v15-i5-13-geracao-24gb-ram-146248900?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=5,1,0,n/a,jul/2026,20260710
41,sarah,"Magé, RJ",(0 avaliação),"nintendo switch v1 semi novo, acompanha todos os acessórios que aparecem na imagem. o console não possui nenhuma marca de uso, está em perfeito estado de conservação.",1,https://www.enjoei.com.br/p/nintendo-switch-v1-146260782?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=6,3,0,n/a,jul/2026,20260710
42,tauana,"Porto Alegre, RS",(0 avaliação),"power bank da marca espada na cor branca. possui luzes indicadoras de carga. usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/power-bank-espada-branco-143011639?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=7,4,0,n/a,jan/2026,20260710
43,tauana,"Porto Alegre, RS",(0 avaliação),"carregador portátil na cor branca, ideal para carregar seu celular em qualquer lugar. possui luzes indicadoras de bateria. usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/carregador-portatil-branco-143011468?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=8,4,0,n/a,jan/2026,20260710
44,marilene,loja em destaque,(38 avaliações),"controle remoto para ar condicionado da marca consul, na cor branca. utiliza duas pilhas aaa. sem marcas de uso, esteticamente está muito bom, porém não funciona, apesar de acender a luz no visor, sendo uma opção para peças de reposição de visor, botões ou carcaça.",1,https://www.enjoei.com.br/p/controle-remoto-ar-condicionado-consul-142757291?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=9,56,76,1 dia,jun/2016,20260710
45,laura,"são paulo, SP",(1 avaliação),,0,https://www.enjoei.com.br/p/capa-gocase-infinite-guard-iphone-16-pro-max-146298706?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=10,5,12,9 dias,jul/2013,20260710
46,tauana,"Porto Alegre, RS",(0 avaliação),"carregador portátil da marca espad na cor branca. ideal para carregar seu celular em qualquer lugar. usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/carregador-portatil-espad-branco-143011353?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=11,4,0,n/a,jan/2026,20260710
47,débora,loja em destaque,(53 avaliações),"autotransformador universal da marca k&slim, com potência de 4000va. funciona em 127vac e 220vac, com frequência de 60hz. ideal para converter voltagem de aparelhos eletrônicos. produto em bom estado de conservação.",1,https://www.enjoei.com.br/p/autotransformador-universal-k-amp-slim-4000va-146255238?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=12,104,101,1 dia,jan/2025,20260710
48,kaic,"São José dos Campos, SP",(0 avaliação),"psp sony na cor preta, acompanha carregador original, case, 3 jogos originais (brothers in arms, spider-man) e 2 cartões de memória (1 original de 4gb e 1 de 32gb). console usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/psp-sony-preto-com-jogos-e-acessorios-146248898?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=13,1,0,n/a,mai/2024,20260710
49,tauana,"Porto Alegre, RS",(0 avaliação),"carregador portátil da marca espada, na cor branca. ideal para carregar diversos tipos de aparelhos como fones de ouvido bluetooth e caixas de som. produto usado, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/carregador-portatil-espada-branco-146176234?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=14,4,0,n/a,jan/2026,20260710
50,guilherme,"guararema, SP",(1 avaliação),"macbook pro de 14 polegadas com chip apple m5, 16gb de memória e 512gb de armazenamento. tela liquid retina xdr integrada. acompanha caixa original, pouco uso e nenhum detalhe.",1,https://www.enjoei.com.br/p/macbook-pro-m5-143443625?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=15,1,2,n/a,mar/2024,20260710
51,daniela,loja em destaque,(217 avaliações),"jogo taz 2 escape from mars para super nintendo. cartucho usado, em bom estado de conservação, ideal para colecionadores e fãs de jogos retrô.",1,https://www.enjoei.com.br/p/jogo-taz-2-escape-from-mars-super-nintendo-145811292?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,2 mil,503,1 dia,set/2025,20260710
52,daniela,loja em destaque,(217 avaliações),"cartucho de jogo para super nintendo, speedy gonzales los gatos bandidos. item usado, em bom estado de conservação, ideal para colecionadores e fãs de jogos retrô.",1,https://www.enjoei.com.br/p/cartucho-super-nintendo-speedy-gonzales-145810820?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,2 mil,503,1 dia,set/2025,20260710
53,daniela,loja em destaque,(217 avaliações),"jogo original brave para nintendo ds. acompanha manual de instruções. usado, mas em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/jogo-nintendo-ds-brave-145405604?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,2 mil,503,1 dia,set/2025,20260710
54,daniela,loja em destaque,(217 avaliações),"video game game star, modelo 8 bit, na cor bege com detalhes em azul. console antigo, usado, ideal para colecionadores ou para quem busca uma experiência retrô de jogos. em bom estado de conservação.",1,https://www.enjoei.com.br/p/video-game-game-star-8-bit-145405656?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,2 mil,503,1 dia,set/2025,20260710
55,daniela,loja em destaque,(217 avaliações),"console xbox 360 na cor preta, ideal para retirada de peças. o console está em bom estado de conservação, mas não acompanha acessórios.",1,https://www.enjoei.com.br/p/console-xbox-360-para-retirada-de-pecas-145387176?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=5,2 mil,503,1 dia,set/2025,20260710
56,erika,"São Carlos, SP",(161 avaliações),"fone one box sem fio, não acompanha carregador, funciona porém a bateria não dura muito, mas dá para usar.",1,https://www.enjoei.com.br/p/fone-sem-fio-140336440?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=16,60,290,1 dia,jan/2023,20260710
57,matheus,loja em destaque,(0 avaliação),"novo, usado apenas 1x pra testes(atenção, o windows conta espaço livre de uma forma diferente, então por mais que o ssd seja realmente de 256gb, o windows reconhece cerca de 240gb, já está precificado corretamente)",1,https://www.enjoei.com.br/p/ssd-sata-256gb-146179989?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=17,5,0,n/a,jan/2022,20260710
58,doralina,"guarapuava, PR",(9 avaliações),"câmera instantânea fujifilm instax mini 12 na cor blossom pink. acompanha capa e dois filmes lacrados de 20 fotos cada. usada por poucos dias, em perfeito estado de conservação.",1,https://www.enjoei.com.br/p/camera-fujifilm-instax-mini-12-rosa-146186304?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=18,8,20,6 dias,ago/2021,20260710
59,aldyane,"Petrópolis, RJ",(4 avaliações),"rádio retekess tr606 am/fm e cassete, na cor branca. acompanha diversas fitas cassete de música clássica e outros gêneros. ideal para quem busca um aparelho retrô e funcional. usado, mas em ótimo estado de conservação.combo com fitas clássicas",1,https://www.enjoei.com.br/p/radio-retekess-tr606-am-fm-e-cassete-146040270?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=19,114,20,1 dia,fev/2021,20260710
60,alex,"São Paulo, SP",(2 avaliações),"cabo original para iphone, com conectores tipo c e lightning. ideal para carregar e sincronizar seu aparelho apple. produto em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/cabo-iphone-original-tipo-c-e-lightning-serve-ate-o-iphone-14-145809007?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=20,13,8,1 dia,mai/2016,20260710
61,thiago,loja em destaque,(165 avaliações),"usada, mas em bom estado, sem detalhes",1,https://www.enjoei.com.br/p/capinha-the-north-face-iphone-15-pro-max-145399439?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=21,123,290,1 dia,dez/2017,20260710
62,patrycia,loja em destaque,(12 avaliações),"câmera bullet intelbras multi hd vhd 3120 b g4, com resolução hd 720p. possui alcance ir de 20 metros e lente de 2.6mm. compatível com hdcvi, hdtvi, ahd e analógico. ideal para instalação interna e externa.",1,https://www.enjoei.com.br/p/camera-bullet-intelbras-multi-hd-vhd-3120-b-g4-serie-3000-145201080?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=22,37,23,1 dia,set/2025,20260710
63,cristian,loja em destaque,(182 avaliações),carregador portátil lg - modelo: sta-p51bse - em perfeito estado de funcionamento - entrada: 100-240v~ - 50/60hz - saída: 4.8v  0.9a - s/n: sa7x 165267.,1,https://www.enjoei.com.br/p/carregador-portatil-lg-sta-p51bse-145812379?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=23,318,519,3 dias,nov/2015,20260710
64,jaqueline,loja em destaque,(20 avaliações),"telefone com fio intelbras tc 20 na cor branca. possui teclado com teclas grandes, cabo de longo alcance e pode ser usado em mesa ou parede. produto novo, nunca instalado.",1,https://www.enjoei.com.br/p/telefone-com-fio-intelbras-tc-20-branco-145753992?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=24,17,31,2 dias,ago/2021,20260710
65,adriane,loja em destaque,(333 avaliações),"máquina pega ursinho mk toys, na cor rosa. possui luzes de led e funciona a pilha. acompanha moedinhas para inserir. ideal para crianças acima de 3 anos. desapego em perfeito estado, sem avarias.",1,https://www.enjoei.com.br/p/maquina-pega-ursinho-mk-toys-rosa-145667482?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=25,23,593,2 dias,ago/2021,20260710
66,lucas,loja em destaque,(42 avaliações),"rastreador ugreen smart finder, compatível com a função buscar do apple. ideal para localizar seus pertences com facilidade. produto novo e em perfeito estado.",1,https://www.enjoei.com.br/p/rastreador-ugreen-smart-finder-apple-145634213?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=26,68,99,1 dia,abr/2020,20260710
67,rafael,"ribeirão preto, SP",(31 avaliações),"carregador portátil belkin de 10.000mah na cor preta. possui entrada usb-c e duas entradas usb-a, ideal para carregar diversos dispositivos. em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/carregador-portatil-belkin-10-000mah-preto-nunca-usado-144098717?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=27,16,60,1 dia,fev/2021,20260710
